info as per running device on rooted stock rom:

| Name            | Type  | Maj/Min |       Blocks |        Start |          End |    Size (bytes) |       Size | By-Name                              |# Sort Symlink                |
| nvdata          | ext4  | 8:38    |       131072 |       331840 |       462911 |        67108864 |     64.00M | /dev/block/by-name/nvdata            | /dev/block/sdc6              |
| gsort           | raw   | 259:54  |        32768 |      7622656 |      7655423 |        16777216 |     16.00M | /dev/block/by-name/gsort             | /dev/block/sdc70             |
| ffu             | raw   | 259:55  |        16384 |      7655424 |      7671807 |         8388608 |      8.00M | /dev/block/by-name/ffu               | /dev/block/sdc71             |
| mem             | raw   | 259:56  |         8192 |      7671808 |      7679999 |         4194304 |      4.00M | /dev/block/by-name/mem               | /dev/block/sdc72             |
| rescue          | ext4  | 259:57  |       262144 |      7680000 |      7942143 |       134217728 |    128.00M | /dev/block/by-name/rescue            | /dev/block/sdc73             |
| bk0             | raw   | 259:58  |        20480 |      7942144 |      7962623 |        10485760 |     10.00M | /dev/block/by-name/bk0               | /dev/block/sdc74             |
| super           | raw   | 259:59  |     14680064 |      7962624 |     22642687 |      7516192768 |   7168.00M | /dev/block/by-name/super             | /dev/block/sdc75             |
| userdata        | raw   | 259:60  |    102268864 |     22642688 |    124911551 |     52361658368 |  49935.96M | /dev/block/by-name/userdata          | /dev/block/sdc76             |
| flashinfo       | raw   | 259:61  |        32768 |    124911552 |    124944319 |        16777216 |     16.00M | /dev/block/by-name/flashinfo         | /dev/block/sdc77             |
| vbmeta_a        | raw   | 8:39    |        16384 |       462912 |       479295 |         8388608 |      8.00M | /dev/block/by-name/vbmeta_a          | /dev/block/sdc7              |
| vbmeta_system_a | raw   | 8:40    |        16384 |       479296 |       495679 |         8388608 |      8.00M | /dev/block/by-name/vbmeta_system_a   | /dev/block/sdc8              |
| vbmeta_vendor_a | raw   | 8:41    |        16384 |       495680 |       512063 |         8388608 |      8.00M | /dev/block/by-name/vbmeta_vendor_a   | /dev/block/sdc9              |
| sdc             | raw   | 8:32    |    124944384 |            0 |    124944383 |     63971524608 |  61008.00M | /dev/block/by-name/sdc               | /dev/block/sdc               |


